frase,columna,pista,tipo,verbo_correcto,distractores
"She wants to ___ the truth.",infinitivo,"Después de 'to' siempre va el infinitivo (to + verbo base).",mismo_verbo,,
"I need to ___ this book by Friday.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"They decided to ___ home early.",infinitivo,"'Go home' es la expresión que tiene sentido aquí; las otras opciones no encajan con 'home early'.",verbos_mezclados,go,sing|break
"We plan to ___ a new car next year.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"He promised to ___ the window before leaving.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"You should try to ___ this problem carefully.",infinitivo,"'Understand a problem' tiene sentido; las otras opciones no combinan con 'problem'.",verbos_mezclados,understand,eat|sing
"I'd like to ___ a letter to my grandmother.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"She refused to ___ the money.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"We hope to ___ there before it gets dark.",infinitivo,"'Get there' es la expresión que tiene sentido; las otras no combinan con 'there'.",verbos_mezclados,get,sing|write
"It's important to ___ the truth, even when it's hard.",infinitivo,"Después de 'to' siempre va el infinitivo.",mismo_verbo,,
"Yesterday, I ___ to the park.",pasado,"'Yesterday' indica pasado simple.",mismo_verbo,,
"Last night, they ___ the movie together.",pasado,"'See a movie' es la expresión correcta; comer o romper una película no tiene sentido.",verbos_mezclados,see,eat|break
"In 2010, we ___ to Chile.",pasado,"Una fecha específica en el pasado ('in 2010') indica pasado simple.",mismo_verbo,,
"She ___ her keys somewhere in the house last week.",pasado,"'Last week' indica pasado simple.",mismo_verbo,,
"Two days ago, he ___ a strange noise outside.",pasado,"'Hear a noise' es lo que tiene sentido; comer o escribir un ruido no.",verbos_mezclados,hear,eat|write
"Last summer, we ___ a beautiful sunset.",pasado,"'Last summer' indica pasado simple.",mismo_verbo,,
"When I was young, I ___ every morning before school.",pasado,"Una acción habitual en el pasado se expresa con pasado simple.",mismo_verbo,,
"Last year, the company ___ its best employee.",pasado,"'Lose an employee' (perder un empleado) es lo que tiene sentido en este contexto.",verbos_mezclados,lose,eat|sing
"He ___ the window before the storm started.",pasado,"El contexto describe una acción ya terminada en el pasado.",mismo_verbo,,
"Yesterday afternoon, she ___ a letter to her friend.",pasado,"'Yesterday afternoon' indica pasado simple.",mismo_verbo,,
"She has already ___ the book.",participio,"Con have/has/had se usa el participio pasado (tiempos perfectos).",mismo_verbo,,
"I have never ___ that movie before.",participio,"'See a movie' es lo que tiene sentido; cantar o escribir una película no.",verbos_mezclados,see,sing|write
"They had already ___ when we arrived.",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
"We have ___ this problem many times before.",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
"By noon, he had already ___ his homework.",participio,"'Do homework' es la expresión correcta; cantar o nadar la tarea no tiene sentido.",verbos_mezclados,do,sing|swim
"Have you ever ___ something so strange?",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
"The team has ___ every game this season.",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
"I've already ___ that decision.",participio,"'Make a decision' es la expresión correcta; comer o cantar una decisión no tiene sentido.",verbos_mezclados,make,eat|sing
"She has never ___ such a beautiful place.",participio,"Con have/has/had se usa el participio pasado.",mismo_verbo,,
